"","LN.me","LN.sd","SP.me","SP.sd"
"133.5",79.8495385138534,3.34943470378925,1.21363811228837,0.103537496413072
"134",79.8495385138534,3.35729920130041,1.21363811228837,0.103517647889319
"134.5",79.8495385138534,3.359002833608,1.21244439730734,0.103794111541544
"135",79.8495385138534,3.3607349246819,1.21018703299766,0.1034939645038
"135.5",79.8495385138534,3.35963287048522,1.21018703299766,0.10369684895337
"136",79.8322165074267,3.35921700115032,1.21018703299766,0.104120599692982
"136.5",79.9013800935645,3.36124891743251,1.20568999782243,0.103780589989806
"137",79.9013800935645,3.36888835338403,1.20377162594026,0.104571220828935
"137.5",79.9013800935645,3.36010516280135,1.20377162594026,0.10483388736432
"138",79.9013800935645,3.34927628486942,1.20377162594026,0.104875491938678
"138.5",79.91136320059,3.35029167085809,1.20132480971229,0.105465250139484
"139",79.91136320059,3.29953072999906,1.19277719198734,0.104647805009857
"139.5",79.91136320059,3.28051435915505,1.20132480971229,0.105080179838988
"140",79.91136320059,3.39230597859576,1.20132480971229,0.104728082196584
"140.5",79.91136320059,3.47265254201696,1.20132480971229,0.104691695380149
"141",79.8322165074267,3.49951999921619,1.19277719198734,0.104583046045259
"141.5",79.8322165074267,3.49230508230586,1.19026820419253,0.105358658694929
"142",79.91136320059,3.49909491666306,1.19026820419253,0.105951644004241
"142.5",79.9276843076892,3.50232913780195,1.19277719198734,0.105957651790555
"143",79.9421764740599,3.50541384034558,1.20132480971229,0.106366158402765
"143.5",80.071955014042,3.5060338713363,1.20132480971229,0.10632655353122
"144",80.071955014042,3.50587021210386,1.19277719198734,0.106296719103407
"144.5",80.071955014042,3.50449497913579,1.19277719198734,0.104795340163306
"145",80.071955014042,3.51107700584457,1.19277719198734,0.104872021461812
"145.5",80.071955014042,3.52170529937822,1.20132480971229,0.104990211933438
"146",80.071955014042,3.52669592106816,1.20132480971229,0.10500779631698
"146.5",80.071955014042,3.52598032727294,1.19277719198734,0.106499384037994
"147",80.1256867350306,3.52748634693179,1.19026820419253,0.106632625171109
"147.5",80.1256867350306,3.52744794450006,1.19026820419253,0.106460137474936
"148",80.071955014042,3.56257146273334,1.18327206627538,0.103076169633858
"148.5",80.071955014042,3.55390895925913,1.18327206627538,0.101350427873601
"149",80.071955014042,3.55512397509711,1.19026820419253,0.100951029144479
"149.5",80.071955014042,3.55562573432986,1.19085769581934,0.100773207890394
"150",80.1256867350306,3.56520331303072,1.19277719198734,0.100244883063145
"150.5",80.1703108052784,3.57330857197419,1.19277719198734,0.100333533899321
"151",80.1881218574282,3.5987819806226,1.19697538533329,0.100380362856472
"151.5",80.1881218574282,3.61159681630543,1.19890857859356,0.100532577381261
"152",80.1881218574282,3.60087394999824,1.19697538533329,0.0997425974464796
"152.5",80.1703108052784,3.58932545636629,1.1962771003189,0.0996107549407792
"153",80.1256867350306,3.60095469615846,1.1962771003189,0.0997861134875872
"153.5",80.1256867350306,3.59903270420559,1.19277719198734,0.10024612807918
"154",80.1703108052784,3.51849639720552,1.19085769581934,0.100673811796428
"154.5",80.1881218574282,3.50377183420887,1.19085769581934,0.100484407600801
"155",80.1703108052784,3.50218361475254,1.19085769581934,0.102104010675765
"155.5",80.1703108052784,3.49242526932641,1.19085769581934,0.102113385791431
"156",80.1256867350306,3.48460773982173,1.19277719198734,0.102095900514967
"156.5",80.071955014042,3.47878484582875,1.19277719198734,0.102041510861229
"157",80.071955014042,3.47249385245527,1.19085769581934,0.102145604514982
"157.5",80.0180224263399,3.45831728635274,1.19026820419253,0.102291329929191
"158",79.9837605443825,3.44085689991038,1.19085769581934,0.102261192845362
"158.5",79.9837605443825,3.44009082215373,1.19277719198734,0.102089690061527
"159",79.9331205761988,3.42720760147909,1.1962771003189,0.102008756871062
"159.5",79.9276843076892,3.4153880709597,1.19697538533329,0.101394735183024
"160",79.9331205761988,3.42163541178738,1.19890857859356,0.0998193799714397
"160.5",79.9837605443825,3.42837150274013,1.19954347320863,0.0996894713819615
"161",79.9837605443825,3.42831372930984,1.19954347320863,0.0995202259483482
"161.5",79.9837605443825,3.42908781059254,1.19890857859356,0.100350809686663
"162",79.9837605443825,3.40054610860791,1.19890857859356,0.100399625000023
"162.5",80.0180224263399,3.35685635210286,1.19890857859356,0.105439658121795
"163",80.071955014042,3.25474816473725,1.19890857859356,0.114816449323794
"163.5",80.071955014042,3.17549296855667,1.19954347320863,0.116760491406527
"164",80.071955014042,3.1938505881014,1.19954347320863,0.116760723611781
"164.5",80.071955014042,3.32053847909215,1.19890857859356,0.116796197571953
"165",80.0180224263399,3.45582982491699,1.19697538533329,0.116932697140215
"165.5",79.9837605443825,3.55463915275601,1.19697538533329,0.116925953857874
"166",79.9331205761988,3.64976841912811,1.19697538533329,0.116699793720498
"166.5",79.9331205761988,3.64975460665456,1.19697538533329,0.116499503593881
"167",79.9837605443825,3.65304824883434,1.19890857859356,0.116468835134499
"167.5",80.0180224263399,3.65565815490214,1.19954347320863,0.115950704622613
"168",80.0180224263399,3.65517205816971,1.19954347320863,0.117489576451682
"168.5",80.071955014042,3.65777352703254,1.19954347320863,0.116612795620903
"169",80.071955014042,3.66960741303679,1.19954347320863,0.116408240422743
"169.5",80.071955014042,3.68102065953939,1.19954347320863,0.116270797881323
"170",80.071955014042,3.69515106518966,1.19954347320863,0.116127180798805
"170.5",80.071955014042,3.72723114395949,1.19954347320863,0.116371709120795
"171",80.1256867350306,3.72575981227387,1.19954347320863,0.116673443814955
"171.5",80.1703108052784,3.63153636072227,1.19954347320863,0.116846001477551
"172",80.1881218574282,3.55495217990747,1.19954347320863,0.116921171416335
"172.5",80.2856915219677,3.55871179892245,1.19954347320863,0.1168939912405
"173",80.2856915219677,3.55480705334475,1.19954347320863,0.116802715254256
"173.5",80.2856915219677,3.55419786198098,1.19954347320863,0.116784052652429
"174",80.1881218574282,3.55035790347854,1.19890857859356,0.116480186382544
"174.5",80.1703108052784,3.54812819988433,1.19890857859356,0.115076756395218
"175",80.1256867350306,3.55705843553169,1.19890857859356,0.115101085401306
"175.5",80.1256867350306,3.64671675812156,1.19890857859356,0.115671763792717
"176",80.071955014042,3.75251443895161,1.19697538533329,0.115255256608276
"176.5",80.071955014042,3.84388407369391,1.1962771003189,0.1150424221046
"177",80.0180224263399,3.94496285307619,1.19277719198734,0.115237492135947
"177.5",79.9837605443825,3.93985760462617,1.19085769581934,0.115942483212084
"178",79.9837605443825,3.93867243642149,1.1962771003189,0.115973090850319
"178.5",79.9837605443825,3.95773486628792,1.19697538533329,0.115875627343569
"179",79.9837605443825,3.97524415405814,1.1962771003189,0.116255401654354
"179.5",80.0180224263399,3.97625626698944,1.19085769581934,0.112956951882549
"180",80.071955014042,3.96114623439528,1.19026820419253,0.108640033142927
"180.5",80.071955014042,3.87734340148418,1.19085769581934,0.108541520292305
"181",80.0180224263399,3.87384271130852,1.19085769581934,0.108041899865271
"181.5",79.9837605443825,3.85574390246681,1.19085769581934,0.108249232323971
"182",80.0180224263399,3.85922905608387,1.19085769581934,0.108781780448568
"182.5",80.071955014042,3.86173642238249,1.19085769581934,0.108804472299931
"183",80.071955014042,3.86063199520466,1.1962771003189,0.108769942315791
"183.5",80.071955014042,3.86174471569208,1.19697538533329,0.108376301723974
"184",80.071955014042,3.86399471371748,1.19697538533329,0.108845697788678
"184.5",80.071955014042,3.86276687459687,1.1962771003189,0.10854447343829
"185",80.071955014042,3.85991169090319,1.1962771003189,0.108172840955126
"185.5",80.0539998774259,3.85800326144863,1.1962771003189,0.108175421912246
"186",80.071955014042,3.86124781816843,1.1962771003189,0.108223135425323
"186.5",80.1256867350306,3.86558023544884,1.1962771003189,0.107680455784098
"187",80.1256867350306,3.86609708885651,1.19678402457867,0.106196175489893
"187.5",80.1256867350306,3.88048666089612,1.19697538533329,0.106264115424344
