"","LN","Sharpness","score1","score2","score3"
"68",73.029039075661,1.35633750952676,53.11393654296,15.4958926449979,0.00644531465051069
"68.5",71.7536491377543,1.35802396661741,40.3238775335412,38.2268643406268,0.0011057198028038
"69",71.0986198849144,1.3104383006794,36.1150992979279,94.8071890135827,0.000453768742120595
"69.5",71.1303366529989,1.41654945065579,2.79268943670943,0.952298028483759,0.000433412122984158
"70",70.765590951316,1.47251146718176,0.118020865509023,0.0169218843934551,0.000196167284978681
"70.5",69.5028176623721,1.418464563921,0.068364934951397,0.793305374641414,4.55251394691382e-05
"71",76.5535182861255,1.47176386909281,0.317427684138581,1.01389365731823e-06,0.581497217815575
"71.5",77.1039319217052,1.45884665965151,0.248113028023572,5.07070809476299e-07,1.36036612860291
"72",72.6017624257407,1.30026412624126,90.9877280838417,85.2427867237436,0.00362472309836513
"72.5",71.3142485888825,1.27248221469104,52.5266571517944,99.4965334816126,0.000613345569910942
"73",70.9186905530185,1.25350324154226,29.2753317094668,99.6770571088113,0.000355385218436071
"73.5",71.5769051358205,1.20033830205893,69.095022056,89.8452764271374,0.000879826595050794
"74",70.9271486352264,1.18083499673118,29.8278389357594,70.0556647260895,0.000357541364692366
"74.5",71.5023470866301,1.09503758990735,53.9274230201748,0.455772336447556,0.000743067516859885
"75",71.7280750997543,1.08558652698524,58.2527594556682,0.216289114737851,0.000994960240384338
"75.5",72.7902549195109,1.37657442645605,30.646136419189,19.6635447048793,0.00457080091867746
"76",72.7052894238072,1.42651632983426,4.21514088491343,1.11320444433648,0.00371157242130486
"76.5",71.394694950388,1.34955943619507,35.8954434123024,77.5036532412969,0.000676135288730402
"77",71.7136697561622,1.40567507760376,8.05701492936974,7.99928007337768,0.000993662895134659
